team1,team2,score1,score2,date
Cornell,Yale,69,96,2022-01-15
Wofford,Western Caro.,84,64,2022-01-15
Morehead St.,Tennessee St.,71,64,2022-01-15
Radford,Campbell,58,70,2022-01-15
Western Ill.,North Dakota St.,90,79,2022-01-15
Central Conn. St.,LIU,61,83,2022-01-15
SMU,Tulane,75,66,2022-01-15
West Virginia,Kansas,59,85,2022-01-15
Texas,Iowa St.,70,79,2022-01-15
Drexel,Northeastern,76,68,2022-01-15
Delaware,Hofstra,77,82,2022-01-15
App State,Coastal Carolina,84,76,2022-01-15
Arkansas,LSU,65,58,2022-01-15
USC Upstate,UNC Asheville,76,73,2022-01-15
Fordham,Saint Louis,45,63,2022-01-15
Tennessee Tech,UT Martin,76,70,2022-01-15
Florida St.,Syracuse,76,71,2022-01-15
Saint Francis (PA),Merrimack,62,46,2022-01-15
SFA,Sam Houston,41,49,2022-01-15
Furman,Chattanooga,69,71,2022-01-15
Denver,South Dakota St.,62,80,2022-01-15
IUPUI,Milwaukee,54,89,2022-01-15
ULM,UT Arlington,62,55,2022-01-15
ETSU,Samford,88,85,2022-01-15
Gardner-Webb,Longwood,60,66,2022-01-15
Detroit Mercy,Cleveland St.,70,72,2022-01-15
Texas A&M,Missouri,67,64,2022-01-15
James Madison,William & Mary,95,91,2022-01-15
Gonzaga,Santa Clara,115,83,2022-01-15
Oklahoma,TCU,58,59,2022-01-15
NJIT,Albany (NY),56,71,2022-01-15
Coppin St.,Morgan St.,79,76,2022-01-15
North Texas,Western Ky.,65,60,2022-01-15
UC Riverside,CSU Bakersfield,65,64,2022-01-15
Norfolk St.,Howard,77,74,2022-01-15
Towson,Elon,59,54,2022-01-15
Memphis,East Carolina,71,72,2022-01-15
Louisville,Pittsburgh,53,65,2022-01-15
North Ala.,Central Ark.,88,89,2022-01-15
Chicago St.,Lamar University,67,56,2022-01-15
Fla. Atlantic,UAB,65,76,2022-01-15
California,Washington St.,57,65,2022-01-15
Dixie St.,Seattle U,68,79,2022-01-15
Texas Southern,Alcorn,72,73,2022-01-15
Kennesaw St.,Stetson,77,49,2022-01-15
Wake Forest,Virginia,63,55,2022-01-15
Rhode Island,Massachusetts,81,68,2022-01-15
UIW,A&M-Corpus Christi,64,80,2022-01-15
Eastern Mich.,NIU,70,77,2022-01-15
Jacksonville,North Florida,54,51,2022-01-15
Missouri St.,Valparaiso,74,57,2022-01-15
Toledo,Bowling Green,91,78,2022-01-15
Louisiana,Texas St.,68,72,2022-01-15
Omaha,South Dakota,70,105,2022-01-15
Oklahoma St.,Baylor,61,54,2022-01-15
Ga. Southern,South Alabama,67,73,2022-01-15
Nevada,Air Force,75,68,2022-01-15
Nicholls,New Orleans,66,78,2022-01-15
Northwestern St.,Southeastern La.,74,79,2022-01-15
Murray St.,Belmont,82,60,2022-01-15
Houston Baptist,McNeese,75,78,2022-01-15
Portland St.,Sacramento St.,67,62,2022-01-15
Bellarmine,Lipscomb,77,71,2022-01-15
Bethune-Cookman,Mississippi Val.,62,60,2022-01-15
Boise St.,New Mexico,71,63,2022-01-15
Winthrop,Charleston So.,70,65,2022-01-15
Alabama A&M,Alabama St.,55,59,2022-01-15
Notre Dame,Virginia Tech,73,79,2022-01-15
Vanderbilt,Georgia,73,66,2022-01-15
Alabama,Mississippi St.,76,78,2022-01-15
Colorado St.,San Jose St.,78,42,2022-01-15
Abilene Christian,New Mexico St.,63,77,2022-01-15
FIU,Middle Tenn.,39,50,2022-01-15
Stanford,Washington,64,67,2022-01-15
Florida A&M,Ark.-Pine Bluff,71,66,2022-01-15
Southern U.,Grambling,77,83,2022-01-15
Prairie View,Jackson St.,63,73,2022-01-15
Boston College,Clemson,70,68,2022-01-15
Northern Ky.,Robert Morris,64,74,2022-01-15
UCF,South Fla.,51,75,2022-01-15
UTEP,Old Dominion,78,70,2022-01-15
N.C. A&T,High Point,71,78,2022-01-15
Jacksonville St.,Eastern Ky.,76,65,2022-01-15
Loyola Chicago,Indiana St.,64,56,2022-01-15
Liberty,FGCU,78,75,2022-01-15
UIC,Green Bay,80,63,2022-01-15
CSUN,Long Beach St.,55,71,2022-01-15
Rice,Marshall,87,77,2022-01-15
Wright St.,Youngstown St.,87,90,2022-01-15
Oral Roberts,Kansas City,84,72,2022-01-15
UNI,Southern Ill.,69,68,2022-01-15
Portland,Pepperdine,82,63,2022-01-15
Georgia Tech,North Carolina,65,88,2022-01-15
Idaho,Idaho St.,74,81,2022-01-15
Utah,Arizona,64,82,2022-01-15
Houston,Tulsa,66,64,2022-01-15
Auburn,Ole Miss,80,71,2022-01-15
LMU (CA),San Diego,65,70,2022-01-15
Tarleton St.,Grand Canyon,59,80,2022-01-15
UC Santa Barbara,Cal St. Fullerton,73,79,2022-01-15
Wyoming,Utah St.,71,69,2022-01-15
Utah Valley,California Baptist,73,75,2022-01-15
Colorado,Arizona St.,75,57,2022-01-15
UC Davis,Cal Poly,74,82,2022-01-15
Oregon St.,UCLA,65,81,2022-01-15
BYU,San Francisco,71,69,2022-01-15
Oregon,Southern California,79,69,2022-01-15
UC San Diego,Hawaii,56,79,2022-01-16
Butler,Villanova,42,82,2022-01-16
Penn St.,Ohio St.,56,61,2022-01-16
Binghamton,Maine,73,65,2022-01-16
Cincinnati,Wichita St.,61,57,2022-01-16
Niagara,Iona,55,78,2022-01-16
Navy,Boston U.,72,65,2022-01-16
Saint Peters,Rider,58,51,2022-01-16
Monmouth,Marist,48,84,2022-01-16
Bucknell,American,55,63,2022-01-16
Army West Point,Lafayette,54,68,2022-01-16
Fairfield,Quinnipiac,66,72,2022-01-16
Iowa,Minnesota,81,71,2022-01-16
Canisius,Manhattan,75,80,2022-01-16
Louisiana Tech,Southern Miss.,76,62,2022-01-16
Georgetown,St. Johns (NY),69,88,2022-01-16
Loyola Maryland,Lehigh,69,57,2022-01-16
Bradley,Illinois St.,65,74,2022-01-16
Purdue,Illinois,96,88,2022-01-17
George Mason,George Washington,76,77,2022-01-17
Tennessee Tech,Tennessee St.,64,80,2022-01-17
Notre Dame,Howard,71,68,2022-01-17
Mount St. Marys,Merrimack,57,50,2022-01-17
LIU,St. Francis Brooklyn,80,65,2022-01-17
James Madison,Elon,67,90,2022-01-17
Norfolk St.,UMES,72,58,2022-01-17
Drexel,Hofstra,68,71,2022-01-17
Utah,Arizona St.,62,64,2022-01-17
La Salle,Saint Josephs,75,64,2022-01-17
Penn,Princeton,64,74,2022-01-17
Charlotte,Fla. Atlantic,67,96,2022-01-17
UMBC,Stony Brook,51,65,2022-01-17
Murray St.,Eastern Ill.,72,46,2022-01-17
Yale,Brown,66,63,2022-01-17
Indiana,Nebraska,78,71,2022-01-17
Texas Southern,Jackson St.,58,61,2022-01-17
Prairie View,Alcorn,74,73,2022-01-17
Towson,William & Mary,91,69,2022-01-17
Mercer,The Citadel,71,64,2022-01-17
Kennesaw St.,North Florida,62,60,2022-01-17
UNCW,Col. of Charleston,86,78,2022-01-17
Fairleigh Dickinson,Wagner,64,95,2022-01-17
Mich.-Dearborn,Purdue Fort Wayne,59,102,2022-01-17
Delaware,Northeastern,82,76,2022-01-17
Saint Francis (PA),Bryant,52,82,2022-01-17
Harvard,Dartmouth,60,59,2022-01-17
Central Conn. St.,Sacred Heart,66,74,2022-01-17
Portland,LMU (CA),58,70,2022-01-17
Belmont,SIUE,80,64,2022-01-17
Lamar University,SFA,78,86,2022-01-17
Idaho,Northern Ariz.,72,74,2022-01-17
Denver,Kansas City,63,55,2022-01-17
Wyoming,Nevada,77,67,2022-01-17
Drake,Southern Ill.,60,59,2022-01-17
Bethune-Cookman,Ark.-Pine Bluff,63,69,2022-01-17
Florida A&M,Mississippi Val.,78,70,2022-01-17
Weber St.,Idaho St.,78,61,2022-01-17
Portland St.,Southern Utah,76,86,2022-01-17
UNLV,San Jose St.,81,56,2022-01-17
Seattle U,California Baptist,92,85,2022-01-17
Canisius,Saint Peters,57,65,2022-01-18
Baylor,West Virginia,77,68,2022-01-18
Western Mich.,Akron,73,74,2022-01-18
UCF,East Carolina,92,85,2022-01-18
Missouri,Ole Miss,78,53,2022-01-18
IUPUI,Ohio St.,37,83,2022-01-18
Davidson,VCU,63,61,2022-01-18
Lipscomb,Eastern Ky.,72,86,2022-01-18
Jacksonville,Liberty,49,88,2022-01-18
FGCU,Stetson,93,91,2022-01-18
North Ala.,Bellarmine,60,68,2022-01-18
South Carolina,Arkansas,59,75,2022-01-18
Kent St.,Eastern Mich.,56,47,2022-01-18
Ohio,Miami (OH),86,63,2022-01-18
Ball St.,Toledo,70,83,2022-01-18
Iona,Monmouth,86,85,2022-01-18
Butler,UConn,59,76,2022-01-18
St. Bonaventure,Dayton,50,68,2022-01-18
Kansas,Oklahoma,67,64,2022-01-18
Maryland,Michigan,64,83,2022-01-18
North Carolina,Miami (FL),57,85,2022-01-18
Niagara,Manhattan,72,63,2022-01-18
Loyola Chicago,Evansville,77,48,2022-01-18
South Fla.,Houston,55,74,2022-01-18
Jacksonville St.,Central Ark.,86,81,2022-01-18
Richmond,Fordham,83,70,2022-01-18
Bowling Green,NIU,92,83,2022-01-18
Kansas St.,Texas,66,65,2022-01-18
Air Force,Boise St.,56,62,2022-01-18
Wisconsin,Northwestern,82,76,2022-01-18
Tennessee,Vanderbilt,68,60,2022-01-18
Clemson,Syracuse,78,91,2022-01-18
Duke,Florida St.,78,79,2022-01-18
Iowa St.,Texas Tech,60,72,2022-01-18
Cal Poly,CSU Bakersfield,60,73,2022-01-18
Utah St.,Fresno St.,54,61,2022-01-18
Morris,South Carolina St.,67,102,2022-01-18
American,Army West Point,66,76,2022-01-19
N.C. A&T,UNC Asheville,73,71,2022-01-19
Hampton,Radford,51,54,2022-01-19
Mississippi St.,Florida,72,80,2022-01-19
Albany (NY),UMBC,66,54,2022-01-19
Mercer,ETSU,64,72,2022-01-19
Colgate,Bucknell,75,56,2022-01-19
Maine,UMass Lowell,62,71,2022-01-19
New Hampshire,Hartford,57,69,2022-01-19
Stony Brook,Binghamton,74,71,2022-01-19
Virginia Tech,NC State,62,59,2022-01-19
USC Upstate,Gardner-Webb,74,61,2022-01-19
Boston College,Louisville,54,67,2022-01-19
Wake Forest,Georgia Tech,80,64,2022-01-19
Lehigh,Navy,69,61,2022-01-19
Vermont,NJIT,83,57,2022-01-19
The Citadel,Wofford,77,89,2022-01-19
Campbell,Longwood,64,72,2022-01-19
UNI,Valparaiso,80,83,2022-01-19
LSU,Alabama,67,70,2022-01-19
Boston U.,Loyola Maryland,67,50,2022-01-19
Western Caro.,Furman,50,88,2022-01-19
High Point,Charleston So.,66,70,2022-01-19
Rider,Quinnipiac,67,73,2022-01-19
George Washington,Saint Josephs,61,72,2022-01-19
La Salle,Rhode Island,54,56,2022-01-19
St. Johns (NY),Creighton,64,87,2022-01-19
TCU,Oklahoma St.,56,57,2022-01-19
Southeastern Bapt.,Southern Miss.,50,100,2022-01-19
Marquette,Villanova,57,54,2022-01-19
Illinois St.,Missouri St.,63,88,2022-01-19
Indiana St.,Southern Ill.,55,63,2022-01-19
Bradley,Drake,83,71,2022-01-19
Kentucky,Texas A&M,64,58,2022-01-19
Iowa,Rutgers,46,48,2022-01-19
San Jose St.,Wyoming,69,84,2022-01-19
Georgia,Auburn,60,83,2022-01-19
Xavier,DePaul,68,67,2022-01-19
Virginia,Pittsburgh,66,61,2022-01-19
New Mexico,Colorado St.,74,80,2022-01-19
North Florida,Florida St.,73,86,2022-01-20
Georgetown,Providence,75,83,2022-01-20
Winthrop,Presbyterian,60,58,2022-01-20
Chattanooga,UNC Greensboro,72,64,2022-01-20
Western Ky.,Fla. Atlantic,69,78,2022-01-20
William & Mary,Delaware,74,84,2022-01-20
Samford,VMI,80,99,2022-01-20
App State,Georgia St.,61,60,2022-01-20
SMU,Memphis,70,62,2022-01-20
Marshall,FIU,66,70,2022-01-20
Charlotte,North Texas,51,65,2022-01-20
Wright St.,IUPUI,73,45,2022-01-20
Coastal Carolina,Ga. Southern,76,72,2022-01-20
Saint Louis,Massachusetts,85,91,2022-01-20
Purdue,Indiana,65,68,2022-01-20
Austin Peay,UT Martin,72,57,2022-01-20
Akron,Bowling Green,91,66,2022-01-20
SIUE,Tennessee Tech,76,94,2022-01-20
Elon,Drexel,49,77,2022-01-20
Belmont,Morehead St.,74,83,2022-01-20
Col. of Charleston,Towson,67,74,2022-01-20
UNCW,James Madison,71,70,2022-01-20
Texas St.,Little Rock,69,59,2022-01-20
New Mexico St.,Sam Houston,46,71,2022-01-20
Troy,ULM,73,65,2022-01-20
Southern California,Colorado,61,58,2022-01-20
Grand Canyon,SFA,46,71,2022-01-20
Monmouth,Fairfield,61,58,2022-01-20
North Dakota,Oral Roberts,76,80,2022-01-20
UTRGV,Utah Valley,56,66,2022-01-20
Montana St.,Northern Ariz.,89,84,2022-01-20
South Dakota St.,St. Thomas (MN),92,77,2022-01-20
South Alabama,Louisiana,77,70,2022-01-20
California Baptist,Tarleton St.,88,84,2022-01-20
UT Arlington,Arkansas St.,70,75,2022-01-20
Eastern Ill.,Murray St.,51,91,2022-01-20
Tennessee St.,Southeast Mo. St.,63,85,2022-01-20
Southeastern La.,New Orleans,72,78,2022-01-20
Detroit Mercy,Green Bay,63,70,2022-01-20
Northwestern St.,Nicholls,58,69,2022-01-20
Old Dominion,Rice,69,77,2022-01-20
Northern Ky.,UIC,74,70,2022-01-20
Oakland,Milwaukee,78,88,2022-01-20
North Dakota St.,Kansas City,77,80,2022-01-20
Seattle U,Abilene Christian,72,62,2022-01-20
McNeese,A&M-Corpus Christi,56,60,2022-01-20
Houston Baptist,UIW,68,65,2022-01-20
Lamar University,Dixie St.,55,71,2022-01-20
Sacramento St.,Eastern Wash.,62,75,2022-01-20
Northern Colo.,Idaho,87,70,2022-01-20
San Diego,BYU,71,79,2022-01-20
Boise St.,Utah St.,62,59,2022-01-20
UTSA,UTEP,64,69,2022-01-20
Santa Clara,Saint Marys (CA),65,73,2022-01-20
UConn,Butler,75,56,2022-01-20
Tulsa,Cincinnati,69,90,2022-01-20
UNLV,Air Force,62,69,2022-01-20
Idaho St.,Weber St.,63,95,2022-01-20
Hawaii,CSU Bakersfield,63,59,2022-01-20
Long Beach St.,UC San Diego,87,69,2022-01-20
Cal St. Fullerton,UC Irvine,65,63,2022-01-20
UC Davis,CSUN,64,47,2022-01-20
Montana,Portland St.,66,64,2022-01-20
Pepperdine,LMU (CA),80,85,2022-01-20
Arizona,Stanford,85,57,2022-01-20
UCLA,Utah,63,58,2022-01-20
San Francisco,Gonzaga,62,78,2022-01-20
Washington,Oregon St.,82,72,2022-01-20
Toledo,Ohio,87,69,2022-01-21
Siena,Manhattan,68,75,2022-01-21
Evansville,Illinois St.,56,94,2022-01-21
Robert Morris,Purdue Fort Wayne,62,86,2022-01-21
Sacred Heart,Mount St. Marys,59,98,2022-01-21
St. Francis Brooklyn,Fairleigh Dickinson,80,78,2022-01-21
St. Bonaventure,Duquesne,64,56,2022-01-21
Saint Peters,Niagara,74,68,2022-01-21
Rider,Canisius,69,70,2022-01-21
Wagner,LIU,92,85,2022-01-21
Youngstown St.,Cleveland St.,61,64,2022-01-21
Bryant,Merrimack,79,63,2022-01-21
Illinois,Maryland,65,81,2022-01-21
Central Conn. St.,Saint Francis (PA),67,68,2022-01-21
Kent St.,Buffalo,51,64,2022-01-21
Michigan St.,Wisconsin,86,74,2022-01-21
Fresno St.,Nevada,73,77,2022-01-21
Northern Ky.,IUPUI,60,41,2022-01-22
Rutgers,Minnesota,65,68,2022-01-22
Hofstra,Northeastern,72,50,2022-01-22
Virginia Tech,Boston College,63,68,2022-01-22
Syracuse,Duke,59,79,2022-01-22
Seton Hall,St. Johns (NY),66,60,2022-01-22
Villanova,Georgetown,85,74,2022-01-22
UMBC,Maine,88,46,2022-01-22
West Virginia,Texas Tech,65,78,2022-01-22
George Washington,Rhode Island,63,61,2022-01-22
Vanderbilt,Florida,42,61,2022-01-22
Oakland,Green Bay,68,61,2022-01-22
Lehigh,Boston U.,74,80,2022-01-22
UMass Lowell,New Hampshire,61,67,2022-01-22
Chattanooga,VMI,78,74,2022-01-22
Kentucky,Auburn,71,80,2022-01-22
Valparaiso,Indiana St.,75,73,2022-01-22
Elon,Delaware,77,80,2022-01-22
Army West Point,Navy,74,73,2022-01-22
Colorado St.,Air Force,73,53,2022-01-22
Princeton,Dartmouth,84,80,2022-01-22
UNC Asheville,Radford,78,74,2022-01-22
UNCW,Towson,81,77,2022-01-22
Bucknell,Holy Cross,68,65,2022-01-22
William & Mary,Drexel,83,75,2022-01-22
Coastal Carolina,Georgia St.,72,68,2022-01-22
Tulane,UCF,66,68,2022-01-22
Harvard,Cornell,61,76,2022-01-22
Gardner-Webb,Winthrop,62,64,2022-01-22
Oklahoma St.,Texas,51,56,2022-01-22
American,Loyola Maryland,73,78,2022-01-22
Bowling Green,Western Mich.,82,75,2022-01-22
Brown,Columbia,93,74,2022-01-22
Florida St.,Miami (FL),61,60,2022-01-22
Southern Miss.,Middle Tenn.,60,74,2022-01-22
Davidson,Fordham,69,66,2022-01-22
Kennesaw St.,Lipscomb,73,77,2022-01-22
Saint Josephs,VCU,54,70,2022-01-22
Longwood,Presbyterian,71,70,2022-01-22
Baylor,Oklahoma,65,51,2022-01-22
Charlotte,Rice,67,64,2022-01-22
UT Arlington,Little Rock,96,98,2022-01-22
Detroit Mercy,Milwaukee,71,58,2022-01-22
San Jose St.,UNLV,62,70,2022-01-22
South Alabama,ULM,68,56,2022-01-22
New Mexico St.,SFA,72,58,2022-01-22
App State,Ga. Southern,70,62,2022-01-22
Texas St.,Arkansas St.,60,67,2022-01-22
Alcorn,Florida A&M,68,70,2022-01-22
Grand Canyon,Sam Houston,56,58,2022-01-22
South Dakota St.,Western Ill.,93,75,2022-01-22
Missouri St.,Loyola Chicago,79,69,2022-01-22
NIU,Miami (OH),82,85,2022-01-22
Georgia,South Carolina,66,83,2022-01-22
Mississippi Val.,Grambling,64,68,2022-01-22
Col. of Charleston,James Madison,94,95,2022-01-22
Austin Peay,Tennessee St.,61,65,2022-01-22
UC Irvine,Long Beach St.,67,73,2022-01-22
Marshall,Fla. Atlantic,60,71,2022-01-22
Virginia,NC State,63,77,2022-01-22
Yale,Penn,68,76,2022-01-22
SIUE,Morehead St.,74,77,2022-01-22
The Citadel,ETSU,75,73,2022-01-22
South Carolina St.,UMES,69,60,2022-01-22
High Point,Hampton,64,68,2022-01-22
Kansas,Kansas St.,78,75,2022-01-22
Southeastern La.,Nicholls,101,93,2022-01-22
California Baptist,Abilene Christian,68,77,2022-01-22
Lamar University,Utah Valley,41,58,2022-01-22
Omaha,Denver,63,94,2022-01-22
Montana,Northern Ariz.,58,48,2022-01-22
Idaho St.,Southern Utah,74,86,2022-01-22
Charleston So.,USC Upstate,57,70,2022-01-22
Jackson St.,Bethune-Cookman,50,55,2022-01-22
Howard,Morgan St.,91,82,2022-01-22
Ole Miss,Mississippi St.,60,78,2022-01-22
UAB,Louisiana Tech,83,76,2022-01-22
Notre Dame,Louisville,82,70,2022-01-22
TCU,Iowa St.,59,44,2022-01-22
Southeast Mo. St.,Eastern Ill.,87,58,2022-01-22
Richmond,La Salle,64,56,2022-01-22
N.C. Central,Delaware St.,73,49,2022-01-22
Houston Baptist,A&M-Corpus Christi,77,71,2022-01-22
Penn St.,Iowa,51,68,2022-01-22
Stetson,North Ala.,67,65,2022-01-22
Sacramento St.,Idaho,72,73,2022-01-22
McNeese,UIW,82,72,2022-01-22
FGCU,Jacksonville St.,71,79,2022-01-22
Northwestern St.,New Orleans,77,85,2022-01-22
Samford,UNC Greensboro,58,61,2022-01-22
Northern Colo.,Eastern Wash.,87,83,2022-01-22
Campbell,N.C. A&T,73,72,2022-01-22
Western Caro.,Mercer,64,72,2022-01-22
DePaul,Creighton,47,60,2022-01-22
Old Dominion,North Texas,56,69,2022-01-22
Drake,UNI,82,74,2022-01-22
Pittsburgh,Clemson,48,75,2022-01-22
Missouri,Alabama,76,86,2022-01-22
East Carolina,Houston,36,79,2022-01-22
Ark.-Pine Bluff,Southern U.,51,99,2022-01-22
LSU,Tennessee,50,64,2022-01-22
Coppin St.,Norfolk St.,77,84,2022-01-22
Alabama St.,Prairie View,67,70,2022-01-22
Southern California,Utah,79,67,2022-01-22
Dayton,George Mason,49,50,2022-01-22
Stony Brook,Albany (NY),86,75,2022-01-22
Eastern Mich.,Akron,44,46,2022-01-22
Western Ky.,FIU,83,86,2022-01-22
Hartford,Vermont,72,82,2022-01-22
Furman,Wofford,75,50,2022-01-22
Binghamton,NJIT,68,57,2022-01-22
Jacksonville,Bellarmine,73,76,2022-01-22
North Florida,Eastern Ky.,58,67,2022-01-22
San Francisco,Pepperdine,71,45,2022-01-22
New Mexico,Wyoming,91,93,2022-01-22
North Carolina,Wake Forest,76,98,2022-01-22
South Dakota,St. Thomas (MN),90,79,2022-01-22
Wright St.,UIC,97,81,2022-01-22
North Dakota,Kansas City,74,79,2022-01-22
North Dakota St.,Oral Roberts,72,71,2022-01-22
Troy,Louisiana,59,69,2022-01-22
Seattle U,Tarleton St.,76,68,2022-01-22
UT Martin,Murray St.,66,74,2022-01-22
Southern Ill.,Bradley,62,70,2022-01-22
Texas A&M,Arkansas,73,76,2022-01-22
San Diego,Pacific,73,65,2022-01-22
Alabama A&M,Texas Southern,44,78,2022-01-22
UCLA,Colorado,71,65,2022-01-22
UTRGV,Dixie St.,74,85,2022-01-22
UC San Diego,Cal St. Fullerton,80,83,2022-01-22
Portland,BYU,65,78,2022-01-22
Boise St.,San Diego St.,42,37,2022-01-22
Saint Marys (CA),LMU (CA),83,51,2022-01-22
Montana St.,Portland St.,73,60,2022-01-22
Hawaii,Cal Poly,69,56,2022-01-22
UC Riverside,CSUN,77,67,2022-01-22
Arizona St.,Stanford,76,79,2022-01-22
Butler,Providence,62,69,2022-01-23
St. Francis Brooklyn,Bryant,68,85,2022-01-23
Saint Peters,Canisius,60,63,2022-01-23
Rider,Niagara,70,67,2022-01-23
Northwestern,Purdue,60,80,2022-01-23
Central Conn. St.,Mount St. Marys,50,65,2022-01-23
Fairfield,Marist,69,66,2022-01-23
Youngstown St.,Purdue Fort Wayne,71,82,2022-01-23
Iona,Quinnipiac,76,61,2022-01-23
Manhattan,Monmouth,62,78,2022-01-23
Illinois St.,Evansville,53,56,2022-01-23
Xavier,Marquette,64,75,2022-01-23
Massachusetts,Saint Louis,59,90,2022-01-23
Wagner,Merrimack,71,57,2022-01-23
Robert Morris,Cleveland St.,68,75,2022-01-23
Arizona,California,96,71,2022-01-23
Memphis,Tulsa,83,81,2022-01-23
Michigan,Indiana,80,62,2022-01-23
Sacred Heart,Saint Francis (PA),74,85,2022-01-23
UTEP,UTSA,59,54,2022-01-23
Clayton St.,Georgia Tech,53,103,2022-01-23
LIU,Fairleigh Dickinson,79,75,2022-01-23
Washington,Oregon,56,84,2022-01-23
Jacksonville,Kennesaw St.,68,76,2022-01-24
Longwood,Hampton,73,48,2022-01-24
Boston College,Wake Forest,57,87,2022-01-24
Winthrop,High Point,56,65,2022-01-24
Belmont,Eastern Ill.,90,56,2022-01-24
Towson,Delaware,69,62,2022-01-24
New Hampshire,Maine,64,71,2022-01-24
Morgan St.,Norfolk St.,62,82,2022-01-24
Lafayette,American,69,56,2022-01-24
Louisville,Virginia,52,64,2022-01-24
Bellarmine,Jacksonville St.,60,65,2022-01-24
Loyola Maryland,Colgate,52,65,2022-01-24
Florida,Ole Miss,54,70,2022-01-24
Tennessee St.,Morehead St.,54,67,2022-01-24
Mich.-Dearborn,Oakland,61,104,2022-01-24
Spurgeon,Kansas City,44,111,2022-01-24
UNCW,Northeastern,74,68,2022-01-24
South Dakota,Western Ill.,75,72,2022-01-24
Saint Josephs,George Mason,71,77,2022-01-24
South Carolina St.,Delaware St.,64,62,2022-01-24
N.C. Central,UMES,75,63,2022-01-24
Jackson St.,Florida A&M,64,67,2022-01-24
Howard,Coppin St.,81,83,2022-01-24
Alcorn,Bethune-Cookman,70,67,2022-01-24
Hartford,Binghamton,64,74,2022-01-24
Sacramento St.,Northern Ariz.,65,70,2022-01-24
SIUE,UT Martin,70,76,2022-01-24
Tennessee Tech,Murray St.,53,79,2022-01-24
Virginia Tech,North Carolina,68,78,2022-01-24
Ark.-Pine Bluff,Grambling,65,76,2022-01-24
Alabama St.,Texas Southern,66,73,2022-01-24
Alabama A&M,Prairie View,48,72,2022-01-24
San Diego,Santa Clara,74,78,2022-01-24
UNLV,San Diego St.,55,80,2022-01-24
St. Johns (NY),Seton Hall,84,63,2022-01-24
Eastern Wash.,Idaho St.,89,63,2022-01-24
Weber St.,Southern Utah,92,84,2022-01-24
Mississippi Val.,Southern U.,72,100,2022-01-24
Texas Tech,Kansas,91,94,2022-01-24
Idaho,Portland St.,84,79,2022-01-24
Arizona St.,Southern California,56,78,2022-01-24
Richmond,Rhode Island,70,63,2022-01-25
Alabama,Georgia,76,82,2022-01-25
Michigan St.,Illinois,55,56,2022-01-25
Cincinnati,Temple,58,61,2022-01-25
Clemson,Duke,69,71,2022-01-25
DePaul,Villanova,43,67,2022-01-25
Akron,Central Mich.,60,56,2022-01-25
NIU,Ohio,62,74,2022-01-25
Eastern Mich.,Bowling Green,71,85,2022-01-25
Miami (OH),Ball St.,64,81,2022-01-25
Western Mich.,Kent St.,64,75,2022-01-25
Buffalo,Toledo,75,86,2022-01-25
Fordham,Dayton,61,68,2022-01-25
William & Mary,Col. of Charleston,73,74,2022-01-25
Columbia,Yale,72,83,2022-01-25
Siena,Iona,57,74,2022-01-25
Wright St.,Northern Ky.,63,73,2022-01-25
Missouri St.,Indiana St.,72,76,2022-01-25
Kansas St.,Baylor,49,74,2022-01-25
Syracuse,Pittsburgh,53,64,2022-01-25
Southern Ill.,Loyola Chicago,47,59,2022-01-25
Maryland,Rutgers,68,60,2022-01-25
St. Thomas (MN),North Dakota St.,56,77,2022-01-25
Auburn,Missouri,55,54,2022-01-25
Georgetown,UConn,73,96,2022-01-25
Wyoming,Boise St.,62,65,2022-01-25
Fresno St.,New Mexico,65,60,2022-01-25
Texas,TCU,73,50,2022-01-25
Mississippi St.,Kentucky,74,82,2022-01-25
Nevada,Colorado St.,66,77,2022-01-25
Colorado,Oregon,82,78,2022-01-25
Air Force,San Jose St.,63,53,2022-01-25
UC Santa Barbara,CSUN,72,45,2022-01-25
Arizona,UCLA,59,75,2022-01-25
Winthrop,USC Upstate,95,91,2022-01-26
Florida,Tennessee,71,78,2022-01-26
Northwestern,Michigan,70,72,2022-01-26
Providence,Xavier,65,62,2022-01-26
Creighton,Butler,55,72,2022-01-26
Massachusetts,La Salle,77,71,2022-01-26
Albany (NY),UMass Lowell,64,62,2022-01-26
Holy Cross,American,49,67,2022-01-26
Vanderbilt,South Carolina,61,70,2022-01-26
Navy,Bucknell,81,63,2022-01-26
UNC Greensboro,ETSU,80,76,2022-01-26
Radford,High Point,58,63,2022-01-26
Boston College,North Carolina,47,58,2022-01-26
Old Dominion,Charlotte,67,71,2022-01-26
Maine,New Hampshire,61,73,2022-01-26
Saint Peters,Marist,69,62,2022-01-26
Wofford,Chattanooga,60,71,2022-01-26
Binghamton,Hartford,60,72,2022-01-26
Hampton,Campbell,60,75,2022-01-26
Miami (FL),Virginia Tech,78,75,2022-01-26
SMU,South Fla.,74,54,2022-01-26
Arkansas,Ole Miss,64,55,2022-01-26
Presbyterian,Charleston So.,62,61,2022-01-26
VMI,Furman,64,79,2022-01-26
UNI,Evansville,64,59,2022-01-26
St. Bonaventure,George Mason,66,75,2022-01-26
Vermont,Stony Brook,80,67,2022-01-26
Duquesne,Saint Josephs,61,72,2022-01-26
Bradley,Valparaiso,71,56,2022-01-26
Western Caro.,The Citadel,66,68,2022-01-26
Boston U.,Lafayette,81,62,2022-01-26
